player,batting_average,strike_rate,bowling_average,is_best_batsman
SC Cook,0.529738303,52.97383029,0,0
K Rabada,0.629928315,62.99283154,23.26811594,0
F du Plessis,0.929487807,92.94878073,28.57142857,1
D Elgar,0.581130484,58.11304837,34.23529412,0
Q de Kock,1.035619901,103.5619901,0,1
MR Marsh,1.04177622,104.177622,26.69791667,1
PM Siddle,0.532389766,53.23897659,23.01762115,0
NM Lyon,0.550094518,55.0094518,29.93513514,0
MA Starc,0.741820345,74.1820345,21.72260274,0
KA Maharaj,0.69460501,69.46050096,35.43809524,0
DW Steyn,0.564102564,56.41025641,21.18435754,0
JR Hazlewood,0.47284345,47.28434505,24.36507937,0
JP Duminy,0.919623553,91.96235534,47.40983607,1
VD Philander,0.622771708,62.27717079,24.98148148,0
JM Mennie,0.578787879,57.87878788,22.91666667,0
SPD Smith,0.713206717,71.3206717,26.40740741,0
DA Warner,0.970508244,97.05082441,36,1
AC Voges,0.810953572,81.09535724,29,0
CJ Ferguson,0.986320109,98.63201094,0,1
KJ Abbott,0.57837492,57.837492,22.35622318,0
PM Nevill,0.538793103,53.87931034,0,0
JM Bird,0.751111111,75.11111111,24.29133858,0
T Shamsi,0.614035088,61.40350877,22.59285714,0
Rahat Ali,0.146067416,14.60674157,31.83333333,0
NJ Maddinson,0.874499332,87.44993324,26.875,0
Mohammad Amir,0.571234735,57.12347354,22.78059072,0
MT Renshaw,0.69254902,69.25490196,37.45454545,0
Wahab Riaz,1.004581901,100.4581901,22.54121864,1
MS Wade,0.875379939,87.53799392,40.5,0
Yasir Shah,0.497277677,49.7277677,43.69047619,0
PSP Handscomb,0.688489402,68.84894017,0,0
Azhar Ali,0.52549068,52.54906802,62,0
Sarfraz Ahmed,0.894411765,89.44117647,0,0
Sohail Khan,0.813278008,81.32780083,27.48,0
Asad Shafiq,0.580668258,58.06682578,93,0
Younis Khan,0.676772115,67.67721148,49.57142857,0
Misbah-ul-Haq,0.663008302,66.30083017,0,0
Babar Azam,0.96524637,96.52463699,9,1
Sami Aslam,0.423303835,42.33038348,0,0
Imran Khan (2),0.4,40,42.5,0
HWR Cartwright,0.790609137,79.06091371,38.88888889,0
Hasan Ali,1.204035874,120.4035874,20.68103448,1
TM Head,0.87041388,87.04138804,58.23529412,0
Mohammad Nawaz (3),0.970779221,97.07792208,31.31818182,1
GJ Maxwell,1.348522881,134.8522881,35.82352941,1
Imad Wasim,1.228534538,122.8534538,26.37121212,1
JP Faulkner,0.980079681,98.00796813,20.56355932,1
Mohammad Hafeez,0.833938294,83.3938294,31.04666667,0
B Stanlake,0.209302326,20.93023256,22.16393443,0
PJ Cummins,0.596606975,59.66069746,25.59042553,0
CA Lynn,1.424446203,142.4446203,0,1
Shoaib Malik,1.007918686,100.7918686,32.734375,1
Junaid Khan,0.454545455,45.45454545,24.7080292,0
Umar Akmal,1.025956284,102.5956284,0,1
Mohammad Rizwan,1.065685759,106.5685759,0,1
Sharjeel Khan,1.204797048,120.4797048,0,1
DAS Gunaratne,0.696428571,69.64285714,26.3,0
S Prasanna,1.03276131,103.276131,37.37254902,1
AJ Turner,1.235031278,123.5031278,29.44444444,1
AJ Finch,1.073753699,107.3753699,38.2,1
KMDN Kulasekara,0.707724426,70.77244259,26.73076923,0
MC Henriques,0.917498532,91.7498532,27.82222222,1
SL Malinga,0.663101604,66.31016043,22.45989305,0
PADLR Sandakan,0.504545455,50.45454545,28.25806452,0
JRMVB Sanjaya,0.888888889,88.88888889,27.14285714,0
M Klinger,0.956675749,95.66757493,0,1
AJ Tye,1.081911263,108.1911263,16.53554502,1
JA Richardson,0.770618557,77.06185567,18.95454545,0
BR Dunk,1.253435115,125.3435115,68,1
TD Paine,0.61784365,61.78436501,0,0
EMDY Munaweera,1.016483516,101.6483516,32.22222222,1
TAM Siriwardana,0.861280488,86.12804878,37.4,0
MD Shanaka,1.088168373,108.8168373,32,1
C de Grandhomme,1.094817432,109.4817432,38.20512821,1
JDS Neesham,1.107551487,110.7551487,25.83916084,1
MJ Santner,0.90989497,90.98949696,35.32142857,1
GJ Bailey,0.918653046,91.86530458,0,1
MJ Henry,1.039513678,103.9513678,25.19148936,1
TA Boult,0.763157895,76.31578947,26.2688172,0
A Zampa,0.64116095,64.11609499,24.68325792,0
LH Ferguson,0.7960199,79.60199005,24.25,0
TG Southee,0.902760351,90.27603513,26.01983003,1
KS Williamson,0.776315789,77.63157895,40.48148148,0
C Munro,1.346462436,134.6462436,34.76923077,1
SR Thompson,0.881818182,88.18181818,29.82758621,0
GE Kidd,0,0,15.75,0
M Marais,1.245098039,124.5098039,0,1
DP Hyatt,0.811764706,81.17647059,17.5,0
J Mulder,1.3,130,18.72222222,1
AP Gillespie,1.175,117.5,0,1
NG Jones,1.051724138,105.1724138,17.28571429,1
NL Smith,0.724770642,72.47706422,22,0
AR McBrine,0.774551665,77.45516652,27.13483146,0
SC Getkate,1.018575851,101.8575851,21.6,1
DA Rankin,0.777777778,77.77777778,0,0
GJ McCarter,1.226415094,122.6415094,20.31578947,1
J Theron,1.023809524,102.3809524,17.78313253,1
SA Britton,0.75,75,41,0
RL Dougherty,0.896551724,89.65517241,0,0
Noor Ali Zadran,0.744067797,74.40677966,0,0
SM Sharif,0.723127036,72.31270358,21.47663551,0
Mohammad Shahzad,1.0647126,106.47126,0,1
RAJ Smith,0.833333333,83.33333333,35.4375,0
CD de Lange,0.851851852,85.18518519,29.07692308,0
Asghar Stanikzai,0.80191789,80.19178903,28.5,0
Rahmat Shah,0.675288361,67.52883607,45.125,0
MA Leask,1.15940367,115.940367,23.95454545,1
BTJ Wheal,0.281350482,28.13504823,29.18918919,0
AC Evans,0.603960396,60.3960396,22.5,0
Javed Ahmadi,0.699152542,69.91525424,81.5,0
Mohammad Nabi,1.095314592,109.5314592,23.29508197,1
Mirwais Ashraf,0.858778626,85.8778626,20.16666667,0
D du Preez,1.564516129,156.4516129,27.38461538,1
TL Moreki,0.375,37.5,23.3,0
JF Smith,1.010067114,101.0067114,9.166666667,1
M de Lange,1.066298343,106.6298343,23.82424242,1
PE Kruger,1.252459016,125.2459016,28,1
RS Second,1.040322581,104.0322581,0,1
A Mgijima,1.03,103,21.33333333,1
PJ van Biljon,1.205084746,120.5084746,0,1
DS Rosier,1.230483271,123.0483271,0,1
TM Bodibe,0.96031746,96.03174603,0,1
D Paterson,0.830508475,83.05084746,24.67647059,0
GF Linde,1.137067938,113.7067938,31.06,1
DA Miller,1.224673341,122.4673341,0,1
SC van Schalkwyk,1.058252427,105.8252427,16.71875,1
KA Pollard,1.318794459,131.8794459,27.64556962,1
RK Kleinveldt,1.004474273,100.4474273,25.7751938,1
H Davids,1.196123147,119.6123147,37.25,1
TG Mokoena,0.875776398,87.57763975,0,0
MK McGillivray,1.52,152,71,1
BC Fortuin,0.95620438,95.62043796,23.13333333,1
E Leie,0.555555556,55.55555556,30.5,0
GC Viljoen,0.957356077,95.73560768,25.76237624,1
JA Morkel,1.2,120,26.25663717,1
HG Kuhn,0.903729839,90.37298387,0,1
F Behardien,1.276574307,127.6574307,34.88888889,1
MQ Adams,1.174242424,117.4242424,0,1
AM Phangiso,0.603550296,60.35502959,24.66176471,0
PWA Mulder,0.842519685,84.2519685,25.94444444,0
K Nipper,0.538461538,53.84615385,47,0
K Zondo,0.922405432,92.24054316,144,1
SSB Magala,1.316384181,131.6384181,26.63333333,1
ACR Birch,1.273809524,127.3809524,22.97435897,1
AL Phehlukwayo,0.97532656,97.53265602,29.11956522,1
R Frylinck,1.200617284,120.0617284,21.55737705,1
CS Delport,1.345228549,134.5228549,31.38461538,1
JT Smuts,1.152036199,115.2036199,28.35416667,1
CN Ackermann,0.82690815,82.69081501,47.7804878,0
SSN Nqweni,1.086956522,108.6956522,16.75,1
Imran Tahir,0.655405405,65.54054054,24.65714286,0
MN van Wyk,1.058902276,105.8902276,0,1
VB van Jaarsveld,1.124786325,112.4786325,0,1
C Chetty,1.221411192,122.1411192,0,1
BD Walters,1,100,36.53333333,1
CJ Alexander,0.764705882,76.47058824,28.69230769,0
C Tshiki,1,100,0,1
JL Ontong,1.043032787,104.3032787,18.875,1
MP Siboto,0.774193548,77.41935484,24.04081633,0
L Ngidi,0.319327731,31.93277311,20.79285714,0
CJ Dala,1.152173913,115.2173913,23.54716981,1
S von Berg,0.842105263,84.21052632,21.62962963,0
RE Levi,0.978044597,97.80445969,0,1
D Wiese,1.161660777,116.1660777,26.1291866,1
LLL Sesele,0.388888889,38.88888889,0,0
M Shezi,0,0,25.27272727,0
H Klaasen,1.25,125,56,1
P Subrayen,1.263888889,126.3888889,22.22580645,1
JD Vandiar,1.045296167,104.5296167,0,1
M Budaza,0,0,14.38095238,0
D Olivier,0.405679513,40.56795132,24.29166667,0
CA Ingram,1.083571429,108.3571429,26.58139535,1
S Seyibokwe,0.826086957,82.60869565,0,0
C Fortuin,0.901098901,90.10989011,0,1
WD Parnell,0.886670581,88.66705813,25.60103627,0
NM Serame,0,0,52,0
OA Ramela,1.229299363,122.9299363,0,1
DA Hendricks,0.984126984,98.41269841,0,1
M Mosehle,1.097165992,109.7165992,0,1
DP Conway,1.020160177,102.0160177,0,1
NJ van den Bergh,1.182291667,118.2291667,0,1
HE van der Dussen,1.074024675,107.4024675,3,1
