player,batting_average,strike_rate,bowling_average
SC Cook,0.529738303,52.97383029,0
K Rabada,0.629928315,62.99283154,23.26811594
F du Plessis,0.929487807,92.94878073,28.57142857
D Elgar,0.581130484,58.11304837,34.23529412
Q de Kock,1.035619901,103.5619901,0
MR Marsh,1.04177622,104.177622,26.69791667
PM Siddle,0.532389766,53.23897659,23.01762115
NM Lyon,0.550094518,55.0094518,29.93513514
MA Starc,0.741820345,74.1820345,21.72260274
KA Maharaj,0.69460501,69.46050096,35.43809524
DW Steyn,0.564102564,56.41025641,21.18435754
JR Hazlewood,0.47284345,47.28434505,24.36507937
JP Duminy,0.919623553,91.96235534,47.40983607
VD Philander,0.622771708,62.27717079,24.98148148
JM Mennie,0.578787879,57.87878788,22.91666667
SPD Smith,0.713206717,71.3206717,26.40740741
DA Warner,0.970508244,97.05082441,36
AC Voges,0.810953572,81.09535724,29
CJ Ferguson,0.986320109,98.63201094,0
KJ Abbott,0.57837492,57.837492,22.35622318
PM Nevill,0.538793103,53.87931034,0
JM Bird,0.751111111,75.11111111,24.29133858
T Shamsi,0.614035088,61.40350877,22.59285714
Rahat Ali,0.146067416,14.60674157,31.83333333
NJ Maddinson,0.874499332,87.44993324,26.875
Mohammad Amir,0.571234735,57.12347354,22.78059072
MT Renshaw,0.69254902,69.25490196,37.45454545
Wahab Riaz,1.004581901,100.4581901,22.54121864
MS Wade,0.875379939,87.53799392,40.5
Yasir Shah,0.497277677,49.7277677,43.69047619
PSP Handscomb,0.688489402,68.84894017,0
Azhar Ali,0.52549068,52.54906802,62
Sarfraz Ahmed,0.894411765,89.44117647,0
Sohail Khan,0.813278008,81.32780083,27.48
Asad Shafiq,0.580668258,58.06682578,93
Younis Khan,0.676772115,67.67721148,49.57142857
Misbah-ul-Haq,0.663008302,66.30083017,0
Babar Azam,0.96524637,96.52463699,9
Sami Aslam,0.423303835,42.33038348,0
Imran Khan (2),0.4,40,42.5
HWR Cartwright,0.790609137,79.06091371,38.88888889
Hasan Ali,1.204035874,120.4035874,20.68103448
TM Head,0.87041388,87.04138804,58.23529412
Mohammad Nawaz (3),0.970779221,97.07792208,31.31818182
GJ Maxwell,1.348522881,134.8522881,35.82352941
Imad Wasim,1.228534538,122.8534538,26.37121212
JP Faulkner,0.980079681,98.00796813,20.56355932
Mohammad Hafeez,0.833938294,83.3938294,31.04666667
